REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
../data/speech/test/clean_test/MGRT0_SX190.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MGRT0_SX190.wav	 1.418	 1.291	 16000	nb16000
../data/speech/test/clean_test/FELC0_SX216.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FELC0_SX216.wav	 1.067	 1.177	 16000	nb16000
../data/speech/test/clean_test/FELC0_SX306.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FELC0_SX306.wav	 1.151	 1.200	 16000	nb16000
../data/speech/test/clean_test/MCMJ0_SX104.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MCMJ0_SX104.wav	 1.982	 1.618	 16000	nb16000
../data/speech/test/clean_test/FDHC0_SX389.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FDHC0_SX389.wav	 1.096	 1.185	 16000	nb16000
../data/speech/test/clean_test/FELC0_SI2016.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FELC0_SI2016.wav	 1.400	 1.284	 16000	nb16000
../data/speech/test/clean_test/FMGD0_SI934.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FMGD0_SI934.wav	 1.338	 1.260	 16000	nb16000
../data/speech/test/clean_test/FMGD0_SI2194.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FMGD0_SI2194.wav	 1.156	 1.201	 16000	nb16000
../data/speech/test/clean_test/FDHC0_SI929.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FDHC0_SI929.wav	 1.091	 1.183	 16000	nb16000
../data/speech/test/clean_test/FELC0_SI1386.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FELC0_SI1386.wav	 1.370	 1.272	 16000	nb16000
../data/speech/test/clean_test/MGRT0_SI2080.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MGRT0_SI2080.wav	 1.618	 1.383	 16000	nb16000
../data/speech/test/clean_test/MCMJ0_SX194.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MCMJ0_SX194.wav	 1.675	 1.414	 16000	nb16000
../data/speech/test/clean_test/FMGD0_SX304.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FMGD0_SX304.wav	 1.150	 1.199	 16000	nb16000
../data/speech/test/clean_test/FDHC0_SX209.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FDHC0_SX209.wav	 1.095	 1.184	 16000	nb16000
../data/speech/test/clean_test/MDAB0_SX229.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MDAB0_SX229.wav	 1.360	 1.268	 16000	nb16000
../data/speech/test/clean_test/FMGD0_SX124.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FMGD0_SX124.wav	 1.695	 1.425	 16000	nb16000
../data/speech/test/clean_test/FELC0_SX396.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FELC0_SX396.wav	 1.259	 1.233	 16000	nb16000
../data/speech/test/clean_test/FELC0_SX36.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FELC0_SX36.wav	 1.201	 1.214	 16000	nb16000
../data/speech/test/clean_test/FMGD0_SI1564.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FMGD0_SI1564.wav	 1.313	 1.251	 16000	nb16000
../data/speech/test/clean_test/FDHC0_SX29.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FDHC0_SX29.wav	 1.009	 1.163	 16000	nb16000
../data/speech/test/clean_test/MGRT0_SX100.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MGRT0_SX100.wav	 1.495	 1.324	 16000	nb16000
../data/speech/test/clean_test/MGRT0_SI820.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MGRT0_SI820.wav	 1.564	 1.356	 16000	nb16000
../data/speech/test/clean_test/MCMJ0_SX284.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MCMJ0_SX284.wav	 1.746	 1.455	 16000	nb16000
../data/speech/test/clean_test/MGRT0_SX280.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MGRT0_SX280.wav	 1.475	 1.315	 16000	nb16000
../data/speech/test/clean_test/MGRT0_SX370.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MGRT0_SX370.wav	 1.388	 1.279	 16000	nb16000
../data/speech/test/clean_test/MDAB0_SI1039.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MDAB0_SI1039.wav	 1.304	 1.248	 16000	nb16000
../data/speech/test/clean_test/FDHC0_SX299.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FDHC0_SX299.wav	 0.926	 1.145	 16000	nb16000
../data/speech/test/clean_test/FDHC0_SI2189.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FDHC0_SI2189.wav	 0.904	 1.140	 16000	nb16000
../data/speech/test/clean_test/MDAB0_SI2299.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MDAB0_SI2299.wav	 1.215	 1.219	 16000	nb16000
../data/speech/test/clean_test/MCMJ0_SX14.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MCMJ0_SX14.wav	 1.633	 1.391	 16000	nb16000
../data/speech/test/clean_test/MDAB0_SX139.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MDAB0_SX139.wav	 1.006	 1.162	 16000	nb16000
../data/speech/test/clean_test/FMGD0_SX214.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FMGD0_SX214.wav	 1.474	 1.315	 16000	nb16000
../data/speech/test/clean_test/MCMJ0_SI1094.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MCMJ0_SI1094.wav	 1.601	 1.374	 16000	nb16000
../data/speech/test/clean_test/MDAB0_SI1669.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MDAB0_SI1669.wav	 1.547	 1.348	 16000	nb16000
../data/speech/test/clean_test/MCMJ0_SI464.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MCMJ0_SI464.wav	 1.861	 1.529	 16000	nb16000
../data/speech/test/clean_test/FELC0_SI756.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FELC0_SI756.wav	 1.408	 1.287	 16000	nb16000
../data/speech/test/clean_test/MDAB0_SX409.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MDAB0_SX409.wav	 1.450	 1.304	 16000	nb16000
../data/speech/test/clean_test/MGRT0_SX10.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MGRT0_SX10.wav	 1.584	 1.366	 16000	nb16000
../data/speech/test/clean_test/MCMJ0_SX374.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MCMJ0_SX374.wav	 1.527	 1.338	 16000	nb16000
../data/speech/test/clean_test/FDHC0_SX119.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FDHC0_SX119.wav	 1.464	 1.310	 16000	nb16000
../data/speech/test/clean_test/MCMJ0_SI602.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MCMJ0_SI602.wav	 1.675	 1.413	 16000	nb16000
../data/speech/test/clean_test/MGRT0_SI1450.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MGRT0_SI1450.wav	 1.604	 1.376	 16000	nb16000
../data/speech/test/clean_test/MDAB0_SX49.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MDAB0_SX49.wav	 1.369	 1.272	 16000	nb16000
../data/speech/test/clean_test/MDAB0_SX319.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/MDAB0_SX319.wav	 1.119	 1.191	 16000	nb16000
../data/speech/test/clean_test/FMGD0_SX34.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FMGD0_SX34.wav	 1.327	 1.256	 16000	nb16000
../data/speech/test/clean_test/FMGD0_SX394.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FMGD0_SX394.wav	 1.362	 1.269	 16000	nb16000
../data/speech/test/clean_test/FDHC0_SI1559.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FDHC0_SI1559.wav	 1.061	 1.176	 16000	nb16000
../data/speech/test/clean_test/FELC0_SX126.wav	 ../data/speech/test/noisy_test/destroyerengine/m5dB/FELC0_SX126.wav	 1.162	 1.203	 16000	nb16000
../data/speech/test/clean/MGRT0_SX190.wav	 ../spectrum/speech/test/noisy/destroyerengine/m5dB/FELC0_SI756_sample_spectrum_spectrum.wav	 2.163	 1.773	 16000	nb16000
../data/speech/test/clean/FELC0_SX216.wav	 ../spectrum/speech/test/noisy/destroyerengine/m5dB/FELC0_SX216_sample_spectrum_spectrum.wav	 1.789	 1.482	 16000	nb16000
../data/speech/test/clean/FELC0_SX306.wav	 ../spectrum/speech/test/noisy/destroyerengine/m5dB/MDAB0_SX409_sample_spectrum_spectrum.wav	 1.066	 1.177	 16000	nb16000
../data/speech/test/clean/MCMJ0_SX104.wav	 ../spectrum/speech/test/noisy/destroyerengine/m5dB/FELC0_SI2016_sample_spectrum_spectrum.wav	 1.756	 1.461	 16000	nb16000
